game_id,country_code,draw_date,draw_number,main_1,main_2,main_3,main_4,main_5,main_6,main_7,bonus_1,bonus_2
jp_loto6,JP,2024-12-19,345,1,15,16,20,21,25,,19,
jp_loto6,JP,2024-12-16,344,3,4,5,13,34,42,,18,
jp_loto6,JP,2024-12-12,343,2,19,21,24,35,42,,17,
jp_loto6,JP,2024-12-09,342,11,19,26,28,29,36,,1,
jp_loto6,JP,2024-12-05,341,2,10,15,25,35,37,,22,
jp_loto6,JP,2024-12-02,340,19,23,29,33,36,40,,27,
jp_loto6,JP,2024-11-28,339,24,25,31,32,34,40,,12,
jp_loto6,JP,2024-11-25,338,1,3,6,23,28,35,,14,
jp_loto6,JP,2024-11-21,337,9,20,26,28,30,42,,6,
jp_loto6,JP,2024-11-18,336,12,13,17,28,37,43,,27,
jp_loto6,JP,2024-11-14,335,18,29,30,38,39,43,,40,
jp_loto6,JP,2024-11-11,334,10,24,30,36,37,41,,5,
jp_loto6,JP,2024-11-07,333,8,9,11,27,36,38,,18,
jp_loto6,JP,2024-11-04,332,1,2,4,14,27,43,,41,
jp_loto6,JP,2024-10-31,331,6,11,21,33,39,42,,18,
jp_loto6,JP,2024-10-28,330,10,11,17,25,34,38,,9,
jp_loto6,JP,2024-10-24,329,1,16,18,26,27,35,,29,
jp_loto6,JP,2024-10-21,328,2,12,13,21,23,43,,39,
jp_loto6,JP,2024-10-17,327,2,14,15,25,26,42,,9,
jp_loto6,JP,2024-10-14,326,10,22,26,27,29,37,,41,
jp_loto6,JP,2024-10-10,325,5,9,14,32,39,41,,24,
jp_loto6,JP,2024-10-07,324,1,9,26,28,31,38,,8,
jp_loto6,JP,2024-10-03,323,1,6,19,29,33,35,,26,
jp_loto6,JP,2024-09-30,322,3,8,12,14,17,40,,2,
jp_loto6,JP,2024-09-26,321,6,13,16,20,27,41,,30,
jp_loto6,JP,2024-09-23,320,3,7,9,10,12,30,,16,
jp_loto6,JP,2024-09-19,319,1,5,16,20,24,31,,29,
jp_loto6,JP,2024-09-16,318,9,23,27,30,33,41,,4,
jp_loto6,JP,2024-09-12,317,5,10,19,23,29,37,,11,
jp_loto6,JP,2024-09-09,316,7,10,12,20,40,43,,4,
jp_loto6,JP,2024-09-05,315,2,18,20,24,26,29,,22,
jp_loto6,JP,2024-09-02,314,2,11,18,26,32,36,,10,
jp_loto6,JP,2024-08-29,313,10,13,18,24,34,37,,1,
jp_loto6,JP,2024-08-26,312,5,9,11,18,34,37,,22,
jp_loto6,JP,2024-08-22,311,7,16,18,25,26,27,,17,
jp_loto6,JP,2024-08-19,310,6,7,18,30,34,37,,3,
jp_loto6,JP,2024-08-15,309,3,11,22,31,33,35,,13,
jp_loto6,JP,2024-08-12,308,1,2,13,25,33,41,,31,
jp_loto6,JP,2024-08-08,307,6,10,22,23,31,36,,37,
jp_loto6,JP,2024-08-05,306,5,17,19,21,38,41,,6,
jp_loto6,JP,2024-08-01,305,3,4,5,6,18,20,,11,
jp_loto6,JP,2024-07-29,304,3,12,14,29,30,33,,21,
jp_loto6,JP,2024-07-25,303,5,13,18,23,30,39,,33,
jp_loto6,JP,2024-07-22,302,4,10,14,19,24,40,,15,
jp_loto6,JP,2024-07-18,301,4,10,22,24,36,38,,8,
jp_loto6,JP,2024-07-15,300,2,5,22,23,29,33,,17,
jp_loto6,JP,2024-07-11,299,1,11,24,29,33,34,,4,
jp_loto6,JP,2024-07-08,298,4,8,9,14,16,41,,15,
jp_loto6,JP,2024-07-04,297,2,8,24,29,30,31,,6,
jp_loto6,JP,2024-07-01,296,3,5,7,8,22,27,,28,
jp_loto6,JP,2024-06-27,295,3,9,21,25,42,43,,36,
jp_loto6,JP,2024-06-24,294,10,14,21,23,24,40,,28,
jp_loto6,JP,2024-06-20,293,1,8,21,22,30,42,,24,
jp_loto6,JP,2024-06-17,292,4,5,17,20,29,30,,40,
jp_loto6,JP,2024-06-13,291,14,21,23,24,28,36,,7,
jp_loto6,JP,2024-06-10,290,18,19,23,25,27,32,,20,
jp_loto6,JP,2024-06-06,289,4,7,15,18,35,40,,12,
jp_loto6,JP,2024-06-03,288,14,15,26,28,33,37,,4,
jp_loto6,JP,2024-05-30,287,3,9,29,30,39,42,,23,
jp_loto6,JP,2024-05-27,286,2,4,9,19,33,36,,3,
jp_loto6,JP,2024-05-23,285,5,19,23,26,31,42,,32,
jp_loto6,JP,2024-05-20,284,7,23,27,30,34,36,,28,
jp_loto6,JP,2024-05-16,283,5,12,15,16,28,40,,1,
jp_loto6,JP,2024-05-13,282,6,18,29,33,35,40,,1,
jp_loto6,JP,2024-05-09,281,19,29,36,37,41,42,,35,
jp_loto6,JP,2024-05-06,280,25,31,33,35,37,42,,16,
jp_loto6,JP,2024-05-02,279,7,8,9,19,22,38,,24,
jp_loto6,JP,2024-04-29,278,2,16,23,38,40,43,,33,
jp_loto6,JP,2024-04-25,277,17,21,29,34,41,42,,2,
jp_loto6,JP,2024-04-22,276,7,15,21,27,28,32,,24,
jp_loto6,JP,2024-04-18,275,4,5,6,28,29,39,,7,
jp_loto6,JP,2024-04-15,274,5,7,15,18,36,37,,20,
jp_loto6,JP,2024-04-11,273,1,6,19,25,33,39,,15,
jp_loto6,JP,2024-04-08,272,2,6,7,16,17,41,,32,
jp_loto6,JP,2024-04-04,271,20,25,29,36,38,42,,19,
jp_loto6,JP,2024-04-01,270,3,11,24,25,28,32,,5,
jp_loto6,JP,2024-03-28,269,3,6,11,25,36,43,,10,
jp_loto6,JP,2024-03-25,268,2,9,22,31,33,35,,30,
jp_loto6,JP,2024-03-21,267,9,14,21,31,33,43,,30,
jp_loto6,JP,2024-03-18,266,1,8,14,27,29,37,,6,
jp_loto6,JP,2024-03-14,265,6,8,12,18,32,38,,39,
jp_loto6,JP,2024-03-11,264,1,11,13,16,21,37,,6,
jp_loto6,JP,2024-03-07,263,4,7,17,31,38,43,,30,
jp_loto6,JP,2024-03-04,262,11,15,16,24,38,39,,29,
jp_loto6,JP,2024-02-29,261,13,31,33,36,41,43,,29,
jp_loto6,JP,2024-02-26,260,6,15,26,33,39,41,,42,
jp_loto6,JP,2024-02-22,259,3,18,20,25,34,40,,31,
jp_loto6,JP,2024-02-19,258,7,13,22,24,38,42,,14,
jp_loto6,JP,2024-02-15,257,5,9,13,23,25,40,,27,
